org,model,modelId
HuggingFaceTB,SmolLM2-nanotron-ckpt,HuggingFaceTB/SmolLM2-nanotron-ckpt
HuggingFaceTB,SmolLM3-3B,HuggingFaceTB/SmolLM3-3B
HuggingFaceTB,SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B-Base
HuggingFaceTB,SmolLM3-3B-checkpoints,HuggingFaceTB/SmolLM3-3B-checkpoints
HuggingFaceTB,SmolVLM-256M-Base,HuggingFaceTB/SmolVLM-256M-Base
HuggingFaceTB,SmolVLM-256M-Instruct,HuggingFaceTB/SmolVLM-256M-Instruct
HuggingFaceTB,SmolVLM-500M-Base,HuggingFaceTB/SmolVLM-500M-Base
HuggingFaceTB,SmolVLM-500M-Instruct,HuggingFaceTB/SmolVLM-500M-Instruct
HuggingFaceTB,SmolVLM-Base,HuggingFaceTB/SmolVLM-Base
HuggingFaceTB,SmolVLM-Instruct,HuggingFaceTB/SmolVLM-Instruct
HuggingFaceTB,SmolVLM-Instruct-DPO,HuggingFaceTB/SmolVLM-Instruct-DPO
HuggingFaceTB,SmolVLM-Synthetic,HuggingFaceTB/SmolVLM-Synthetic
HuggingFaceTB,SmolVLM2-2.2B-Base,HuggingFaceTB/SmolVLM2-2.2B-Base
HuggingFaceTB,SmolVLM2-2.2B-Instruct,HuggingFaceTB/SmolVLM2-2.2B-Instruct
HuggingFaceTB,SmolVLM2-256M-Video-Instruct,HuggingFaceTB/SmolVLM2-256M-Video-Instruct
HuggingFaceTB,SmolVLM2-500M-Video-Instruct,HuggingFaceTB/SmolVLM2-500M-Video-Instruct
HuggingFaceTB,smollm-360M-instruct-add-basics,HuggingFaceTB/smollm-360M-instruct-add-basics
HuggingFaceTB,smolvlm-app-config,HuggingFaceTB/smolvlm-app-config
HuggingFaceTB,stack-edu-classifier-python,HuggingFaceTB/stack-edu-classifier-python
MiniMaxAI,MiniMax-M1-40k,MiniMaxAI/MiniMax-M1-40k
MiniMaxAI,MiniMax-M1-40k-hf,MiniMaxAI/MiniMax-M1-40k-hf
MiniMaxAI,MiniMax-M1-80k,MiniMaxAI/MiniMax-M1-80k
MiniMaxAI,MiniMax-M1-80k-hf,MiniMaxAI/MiniMax-M1-80k-hf
MiniMaxAI,MiniMax-Text-01,MiniMaxAI/MiniMax-Text-01
MiniMaxAI,MiniMax-Text-01-hf,MiniMaxAI/MiniMax-Text-01-hf
MiniMaxAI,MiniMax-VL-01,MiniMaxAI/MiniMax-VL-01
Qwen,CodeQwen1.5-7B,Qwen/CodeQwen1.5-7B
Qwen,CodeQwen1.5-7B-Chat,Qwen/CodeQwen1.5-7B-Chat
Qwen,QVQ-72B-Preview,Qwen/QVQ-72B-Preview
Qwen,QwQ-32B,Qwen/QwQ-32B
Qwen,QwQ-32B-Preview,Qwen/QwQ-32B-Preview
Qwen,Qwen-14B,Qwen/Qwen-14B
Qwen,Qwen-14B-Chat,Qwen/Qwen-14B-Chat
Qwen,Qwen-1_8B,Qwen/Qwen-1_8B
Qwen,Qwen-1_8B-Chat,Qwen/Qwen-1_8B-Chat
Qwen,Qwen-72B,Qwen/Qwen-72B
Qwen,Qwen-72B-Chat,Qwen/Qwen-72B-Chat
Qwen,Qwen-7B,Qwen/Qwen-7B
Qwen,Qwen-7B-Chat,Qwen/Qwen-7B-Chat
Qwen,Qwen-VL,Qwen/Qwen-VL
Qwen,Qwen-VL-Chat,Qwen/Qwen-VL-Chat
Qwen,Qwen1.5-0.5B,Qwen/Qwen1.5-0.5B
Qwen,Qwen1.5-0.5B-Chat,Qwen/Qwen1.5-0.5B-Chat
Qwen,Qwen1.5-1.8B,Qwen/Qwen1.5-1.8B
Qwen,Qwen1.5-1.8B-Chat,Qwen/Qwen1.5-1.8B-Chat
Qwen,Qwen1.5-110B,Qwen/Qwen1.5-110B
Qwen,Qwen1.5-110B-Chat,Qwen/Qwen1.5-110B-Chat
Qwen,Qwen1.5-14B,Qwen/Qwen1.5-14B
Qwen,Qwen1.5-14B-Chat,Qwen/Qwen1.5-14B-Chat
Qwen,Qwen1.5-32B,Qwen/Qwen1.5-32B
Qwen,Qwen1.5-32B-Chat,Qwen/Qwen1.5-32B-Chat
Qwen,Qwen1.5-4B,Qwen/Qwen1.5-4B
Qwen,Qwen1.5-4B-Chat,Qwen/Qwen1.5-4B-Chat
Qwen,Qwen1.5-72B,Qwen/Qwen1.5-72B
Qwen,Qwen1.5-72B-Chat,Qwen/Qwen1.5-72B-Chat
Qwen,Qwen1.5-7B,Qwen/Qwen1.5-7B
Qwen,Qwen1.5-7B-Chat,Qwen/Qwen1.5-7B-Chat
Qwen,Qwen1.5-MoE-A2.7B,Qwen/Qwen1.5-MoE-A2.7B
Qwen,Qwen1.5-MoE-A2.7B-Chat,Qwen/Qwen1.5-MoE-A2.7B-Chat
Qwen,Qwen2-0.5B,Qwen/Qwen2-0.5B
Qwen,Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B-Instruct
Qwen,Qwen2-1.5B,Qwen/Qwen2-1.5B
Qwen,Qwen2-1.5B-Instruct,Qwen/Qwen2-1.5B-Instruct
Qwen,Qwen2-57B-A14B,Qwen/Qwen2-57B-A14B
Qwen,Qwen2-57B-A14B-Instruct,Qwen/Qwen2-57B-A14B-Instruct
Qwen,Qwen2-72B,Qwen/Qwen2-72B
Qwen,Qwen2-72B-Instruct,Qwen/Qwen2-72B-Instruct
Qwen,Qwen2-7B,Qwen/Qwen2-7B
Qwen,Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct
Qwen,Qwen2-Math-1.5B,Qwen/Qwen2-Math-1.5B
Qwen,Qwen2-Math-1.5B-Instruct,Qwen/Qwen2-Math-1.5B-Instruct
Qwen,Qwen2-Math-72B,Qwen/Qwen2-Math-72B
Qwen,Qwen2-Math-72B-Instruct,Qwen/Qwen2-Math-72B-Instruct
Qwen,Qwen2-Math-7B,Qwen/Qwen2-Math-7B
Qwen,Qwen2-Math-7B-Instruct,Qwen/Qwen2-Math-7B-Instruct
Qwen,Qwen2-Math-RM-72B,Qwen/Qwen2-Math-RM-72B
Qwen,Qwen2-VL-2B,Qwen/Qwen2-VL-2B
Qwen,Qwen2-VL-2B-Instruct,Qwen/Qwen2-VL-2B-Instruct
Qwen,Qwen2-VL-72B,Qwen/Qwen2-VL-72B
Qwen,Qwen2-VL-72B-Instruct,Qwen/Qwen2-VL-72B-Instruct
Qwen,Qwen2-VL-7B,Qwen/Qwen2-VL-7B
Qwen,Qwen2-VL-7B-Instruct,Qwen/Qwen2-VL-7B-Instruct
Qwen,Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B
Qwen,Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct
Qwen,Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B
Qwen,Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B-Instruct
Qwen,Qwen2.5-14B,Qwen/Qwen2.5-14B
Qwen,Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct
Qwen,Qwen2.5-14B-Instruct-1M,Qwen/Qwen2.5-14B-Instruct-1M
Qwen,Qwen2.5-32B,Qwen/Qwen2.5-32B
Qwen,Qwen2.5-32B-Instruct,Qwen/Qwen2.5-32B-Instruct
Qwen,Qwen2.5-3B,Qwen/Qwen2.5-3B
Qwen,Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B-Instruct
Qwen,Qwen2.5-72B,Qwen/Qwen2.5-72B
Qwen,Qwen2.5-72B-Instruct,Qwen/Qwen2.5-72B-Instruct
Qwen,Qwen2.5-7B,Qwen/Qwen2.5-7B
Qwen,Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct
Qwen,Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-7B-Instruct-1M
Qwen,Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-Coder-0.5B
Qwen,Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-0.5B-Instruct
Qwen,Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B
Qwen,Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B-Instruct
Qwen,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B
Qwen,Qwen2.5-Coder-14B-Instruct,Qwen/Qwen2.5-Coder-14B-Instruct
Qwen,Qwen2.5-Coder-32B,Qwen/Qwen2.5-Coder-32B
Qwen,Qwen2.5-Coder-32B-Instruct,Qwen/Qwen2.5-Coder-32B-Instruct
Qwen,Qwen2.5-Coder-3B,Qwen/Qwen2.5-Coder-3B
Qwen,Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-3B-Instruct
Qwen,Qwen2.5-Coder-7B,Qwen/Qwen2.5-Coder-7B
Qwen,Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct
Qwen,Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B
Qwen,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct
Qwen,Qwen2.5-Math-72B,Qwen/Qwen2.5-Math-72B
Qwen,Qwen2.5-Math-72B-Instruct,Qwen/Qwen2.5-Math-72B-Instruct
Qwen,Qwen2.5-Math-7B,Qwen/Qwen2.5-Math-7B
Qwen,Qwen2.5-Math-7B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct
Qwen,Qwen2.5-Math-7B-PRM800K,Qwen/Qwen2.5-Math-7B-PRM800K
Qwen,Qwen2.5-Math-PRM-72B,Qwen/Qwen2.5-Math-PRM-72B
Qwen,Qwen2.5-Math-PRM-7B,Qwen/Qwen2.5-Math-PRM-7B
Qwen,Qwen2.5-Math-RM-72B,Qwen/Qwen2.5-Math-RM-72B
Qwen,Qwen2.5-Omni-3B,Qwen/Qwen2.5-Omni-3B
Qwen,Qwen2.5-Omni-7B,Qwen/Qwen2.5-Omni-7B
Qwen,Qwen2.5-VL-32B-Instruct,Qwen/Qwen2.5-VL-32B-Instruct
Qwen,Qwen2.5-VL-3B-Instruct,Qwen/Qwen2.5-VL-3B-Instruct
Qwen,Qwen2.5-VL-72B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct
Qwen,Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct
Qwen,Qwen3-0.6B,Qwen/Qwen3-0.6B
Qwen,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
Qwen,Qwen3-1.7B,Qwen/Qwen3-1.7B
Qwen,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
Qwen,Qwen3-14B,Qwen/Qwen3-14B
Qwen,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
Qwen,Qwen3-235B-A22B,Qwen/Qwen3-235B-A22B
Qwen,Qwen3-235B-A22B-Instruct-2507,Qwen/Qwen3-235B-A22B-Instruct-2507
Qwen,Qwen3-235B-A22B-Thinking-2507,Qwen/Qwen3-235B-A22B-Thinking-2507
Qwen,Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B
Qwen,Qwen3-30B-A3B-Base,Qwen/Qwen3-30B-A3B-Base
Qwen,Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-30B-A3B-Instruct-2507
Qwen,Qwen3-30B-A3B-Thinking-2507,Qwen/Qwen3-30B-A3B-Thinking-2507
Qwen,Qwen3-32B,Qwen/Qwen3-32B
Qwen,Qwen3-4B,Qwen/Qwen3-4B
Qwen,Qwen3-4B-Base,Qwen/Qwen3-4B-Base
Qwen,Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507
Qwen,Qwen3-4B-Thinking-2507,Qwen/Qwen3-4B-Thinking-2507
Qwen,Qwen3-8B,Qwen/Qwen3-8B
Qwen,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
Qwen,Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct
Qwen,Qwen3-Coder-480B-A35B-Instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct
Qwen,Qwen3-Next-80B-A3B-Instruct,Qwen/Qwen3-Next-80B-A3B-Instruct
Qwen,Qwen3-Next-80B-A3B-Thinking,Qwen/Qwen3-Next-80B-A3B-Thinking
Qwen,Qwen3-Omni-30B-A3B-Captioner,Qwen/Qwen3-Omni-30B-A3B-Captioner
Qwen,Qwen3-Omni-30B-A3B-Instruct,Qwen/Qwen3-Omni-30B-A3B-Instruct
Qwen,Qwen3-Omni-30B-A3B-Thinking,Qwen/Qwen3-Omni-30B-A3B-Thinking
Qwen,Qwen3-VL-235B-A22B-Instruct,Qwen/Qwen3-VL-235B-A22B-Instruct
Qwen,Qwen3-VL-235B-A22B-Thinking,Qwen/Qwen3-VL-235B-A22B-Thinking
Qwen,Qwen3Guard-Gen-0.6B,Qwen/Qwen3Guard-Gen-0.6B
Qwen,Qwen3Guard-Gen-4B,Qwen/Qwen3Guard-Gen-4B
Qwen,Qwen3Guard-Gen-8B,Qwen/Qwen3Guard-Gen-8B
Qwen,Qwen3Guard-Stream-0.6B,Qwen/Qwen3Guard-Stream-0.6B
Qwen,Qwen3Guard-Stream-4B,Qwen/Qwen3Guard-Stream-4B
Qwen,Qwen3Guard-Stream-8B,Qwen/Qwen3Guard-Stream-8B
Skywork,Skywork-13B-Base-8bits,Skywork/Skywork-13B-Base-8bits
Skywork,Skywork-13B-Base-Intermediate,Skywork/Skywork-13B-Base-Intermediate
Skywork,Skywork-13B-Math,Skywork/Skywork-13B-Math
Skywork,Skywork-13B-Math-8bits,Skywork/Skywork-13B-Math-8bits
Skywork,Skywork-13B-base,Skywork/Skywork-13B-base
Skywork,Skywork-MoE-Base,Skywork/Skywork-MoE-Base
Skywork,Skywork-MoE-Base-FP8,Skywork/Skywork-MoE-Base-FP8
Skywork,Skywork-OR1-32B,Skywork/Skywork-OR1-32B
Skywork,Skywork-OR1-32B-Preview,Skywork/Skywork-OR1-32B-Preview
Skywork,Skywork-OR1-7B,Skywork/Skywork-OR1-7B
Skywork,Skywork-OR1-7B-Preview,Skywork/Skywork-OR1-7B-Preview
Skywork,Skywork-OR1-Math-7B,Skywork/Skywork-OR1-Math-7B
Skywork,Skywork-R1V-38B,Skywork/Skywork-R1V-38B
Skywork,Skywork-R1V2-38B,Skywork/Skywork-R1V2-38B
Skywork,Skywork-R1V3-38B,Skywork/Skywork-R1V3-38B
Skywork,Skywork-VL-Reward-7B,Skywork/Skywork-VL-Reward-7B
Skywork,Skywork-o1-Open-Llama-3.1-8B,Skywork/Skywork-o1-Open-Llama-3.1-8B
Skywork,Skywork-o1-Open-PRM-Qwen-2.5-1.5B,Skywork/Skywork-o1-Open-PRM-Qwen-2.5-1.5B
Skywork,Skywork-o1-Open-PRM-Qwen-2.5-7B,Skywork/Skywork-o1-Open-PRM-Qwen-2.5-7B
Skywork,SkyworkVL-2B,Skywork/SkyworkVL-2B
Skywork,SkyworkVL-38B,Skywork/SkyworkVL-38B
Snowflake,Arctic-Text2SQL-R1-7B,Snowflake/Arctic-Text2SQL-R1-7B
Snowflake,Llama-3.1-SwiftKV-8B-Instruct,Snowflake/Llama-3.1-SwiftKV-8B-Instruct
Snowflake,Llama-3.3-SwiftKV-70B-Instruct,Snowflake/Llama-3.3-SwiftKV-70B-Instruct
Snowflake,Qwen-2.5-coder-Arctic-ExCoT-32B,Snowflake/Qwen-2.5-coder-Arctic-ExCoT-32B
Snowflake,e5-base-arctic-finetune,Snowflake/e5-base-arctic-finetune
Snowflake,snowflake-arctic-base,Snowflake/snowflake-arctic-base
Snowflake,snowflake-arctic-instruct,Snowflake/snowflake-arctic-instruct
Snowflake,snowflake-arctic-instruct-vllm,Snowflake/snowflake-arctic-instruct-vllm
THUDM,BPO,THUDM/BPO
THUDM,CogAgent,THUDM/CogAgent
THUDM,CogVLM,THUDM/CogVLM
THUDM,CogVideoX-2b,THUDM/CogVideoX-2b
THUDM,CogVideoX-5b,THUDM/CogVideoX-5b
THUDM,CogVideoX-5b-I2V,THUDM/CogVideoX-5b-I2V
THUDM,CogView3-Plus-3B,THUDM/CogView3-Plus-3B
THUDM,CogView4-6B,THUDM/CogView4-6B
THUDM,GLM-4-32B-0414,THUDM/GLM-4-32B-0414
THUDM,GLM-4-32B-Base-0414,THUDM/GLM-4-32B-Base-0414
THUDM,GLM-4-9B-0414,THUDM/GLM-4-9B-0414
THUDM,GLM-4.1V-9B-Base,THUDM/GLM-4.1V-9B-Base
THUDM,GLM-4.1V-9B-Thinking,THUDM/GLM-4.1V-9B-Thinking
THUDM,GLM-Z1-32B-0414,THUDM/GLM-Z1-32B-0414
THUDM,GLM-Z1-9B-0414,THUDM/GLM-Z1-9B-0414
THUDM,GLM-Z1-Rumination-32B-0414,THUDM/GLM-Z1-Rumination-32B-0414
THUDM,LongAlign-13B-64k,THUDM/LongAlign-13B-64k
THUDM,LongAlign-13B-64k-base,THUDM/LongAlign-13B-64k-base
THUDM,LongAlign-6B-64k,THUDM/LongAlign-6B-64k
THUDM,LongAlign-6B-64k-base,THUDM/LongAlign-6B-64k-base
THUDM,LongAlign-7B-64k,THUDM/LongAlign-7B-64k
THUDM,LongAlign-7B-64k-base,THUDM/LongAlign-7B-64k-base
THUDM,LongCite-glm4-9b,THUDM/LongCite-glm4-9b
THUDM,LongCite-llama3.1-8b,THUDM/LongCite-llama3.1-8b
THUDM,MSAGPT,THUDM/MSAGPT
THUDM,MathGLM,THUDM/MathGLM
THUDM,MathGLM-Vision,THUDM/MathGLM-Vision
THUDM,MathGLM-Vision-19B,THUDM/MathGLM-Vision-19B
THUDM,WebGLM,THUDM/WebGLM
THUDM,WebGLM-2B,THUDM/WebGLM-2B
THUDM,agentlm-13b,THUDM/agentlm-13b
THUDM,agentlm-70b,THUDM/agentlm-70b
THUDM,agentlm-7b,THUDM/agentlm-7b
THUDM,androidgen-glm-4-9b,THUDM/androidgen-glm-4-9b
THUDM,androidgen-llama-3-70b,THUDM/androidgen-llama-3-70b
THUDM,apar-13b,THUDM/apar-13b
THUDM,apar-7b,THUDM/apar-7b
THUDM,chatglm-6b,THUDM/chatglm-6b
THUDM,chatglm-6b-int4,THUDM/chatglm-6b-int4
THUDM,chatglm-6b-int4-qe,THUDM/chatglm-6b-int4-qe
THUDM,chatglm-6b-int8,THUDM/chatglm-6b-int8
THUDM,chatglm2-6b,THUDM/chatglm2-6b
THUDM,chatglm2-6b-32k,THUDM/chatglm2-6b-32k
THUDM,chatglm2-6b-32k-int4,THUDM/chatglm2-6b-32k-int4
THUDM,chatglm2-6b-int4,THUDM/chatglm2-6b-int4
THUDM,chatglm3-6b,THUDM/chatglm3-6b
THUDM,chatglm3-6b-128k,THUDM/chatglm3-6b-128k
THUDM,chatglm3-6b-32k,THUDM/chatglm3-6b-32k
THUDM,chatglm3-6b-base,THUDM/chatglm3-6b-base
THUDM,codegeex2-6b,THUDM/codegeex2-6b
THUDM,codegeex2-6b-int4,THUDM/codegeex2-6b-int4
THUDM,codegeex4-all-9b,THUDM/codegeex4-all-9b
THUDM,cogagent-9b-20241220,THUDM/cogagent-9b-20241220
THUDM,cogagent-chat-hf,THUDM/cogagent-chat-hf
THUDM,cogagent-vqa-hf,THUDM/cogagent-vqa-hf
THUDM,cogvlm-base-224-hf,THUDM/cogvlm-base-224-hf
THUDM,cogvlm-base-490-hf,THUDM/cogvlm-base-490-hf
THUDM,cogvlm-chat-hf,THUDM/cogvlm-chat-hf
THUDM,cogvlm-grounding-base-hf,THUDM/cogvlm-grounding-base-hf
THUDM,cogvlm-grounding-generalist-hf,THUDM/cogvlm-grounding-generalist-hf
THUDM,cogvlm2-llama3-caption,THUDM/cogvlm2-llama3-caption
THUDM,cogvlm2-llama3-chat-19B,THUDM/cogvlm2-llama3-chat-19B
THUDM,cogvlm2-llama3-chat-19B-int4,THUDM/cogvlm2-llama3-chat-19B-int4
THUDM,cogvlm2-llama3-chat-19B-tgi,THUDM/cogvlm2-llama3-chat-19B-tgi
THUDM,cogvlm2-llama3-chinese-chat-19B,THUDM/cogvlm2-llama3-chinese-chat-19B
THUDM,cogvlm2-llama3-chinese-chat-19B-int4,THUDM/cogvlm2-llama3-chinese-chat-19B-int4
THUDM,cogvlm2-llama3-chinese-chat-19B-tgi,THUDM/cogvlm2-llama3-chinese-chat-19B-tgi
THUDM,cogvlm2-video-llama3-base,THUDM/cogvlm2-video-llama3-base
THUDM,cogvlm2-video-llama3-chat,THUDM/cogvlm2-video-llama3-chat
THUDM,glm-10b,THUDM/glm-10b
THUDM,glm-10b-chinese,THUDM/glm-10b-chinese
THUDM,glm-2b,THUDM/glm-2b
THUDM,glm-4-9b,THUDM/glm-4-9b
THUDM,glm-4-9b-chat,THUDM/glm-4-9b-chat
THUDM,glm-4-9b-chat-1m,THUDM/glm-4-9b-chat-1m
THUDM,glm-4-9b-chat-1m-hf,THUDM/glm-4-9b-chat-1m-hf
THUDM,glm-4-9b-chat-hf,THUDM/glm-4-9b-chat-hf
THUDM,glm-4-9b-hf,THUDM/glm-4-9b-hf
THUDM,glm-4-voice-9b,THUDM/glm-4-voice-9b
THUDM,glm-4-voice-decoder,THUDM/glm-4-voice-decoder
THUDM,glm-4-voice-tokenizer,THUDM/glm-4-voice-tokenizer
THUDM,glm-4v-9b,THUDM/glm-4v-9b
THUDM,glm-edge-1.5b-chat,THUDM/glm-edge-1.5b-chat
THUDM,glm-edge-4b-chat,THUDM/glm-edge-4b-chat
THUDM,glm-edge-v-2b,THUDM/glm-edge-v-2b
THUDM,glm-edge-v-5b,THUDM/glm-edge-v-5b
THUDM,glm-large-chinese,THUDM/glm-large-chinese
THUDM,glm-roberta-large,THUDM/glm-roberta-large
THUDM,visualglm-6b,THUDM/visualglm-6b
THUDM,webrl-glm-4-9b,THUDM/webrl-glm-4-9b
THUDM,webrl-llama-3.1-70b,THUDM/webrl-llama-3.1-70b
THUDM,webrl-llama-3.1-8b,THUDM/webrl-llama-3.1-8b
THUDM,webrl-orm-llama-3.1-8b,THUDM/webrl-orm-llama-3.1-8b
zai-org,BPO,zai-org/BPO
zai-org,CogAgent,zai-org/CogAgent
zai-org,CogVLM,zai-org/CogVLM
zai-org,CogVideoX-2b,zai-org/CogVideoX-2b
zai-org,CogVideoX-5b,zai-org/CogVideoX-5b
zai-org,CogVideoX-5b-I2V,zai-org/CogVideoX-5b-I2V
zai-org,CogView3-Plus-3B,zai-org/CogView3-Plus-3B
zai-org,CogView4-6B,zai-org/CogView4-6B
zai-org,GLM-4-32B-0414,zai-org/GLM-4-32B-0414
zai-org,GLM-4-32B-Base-0414,zai-org/GLM-4-32B-Base-0414
zai-org,GLM-4-9B-0414,zai-org/GLM-4-9B-0414
zai-org,GLM-4.1V-9B-Base,zai-org/GLM-4.1V-9B-Base
zai-org,GLM-4.1V-9B-Thinking,zai-org/GLM-4.1V-9B-Thinking
zai-org,GLM-Z1-32B-0414,zai-org/GLM-Z1-32B-0414
zai-org,GLM-Z1-9B-0414,zai-org/GLM-Z1-9B-0414
zai-org,GLM-Z1-Rumination-32B-0414,zai-org/GLM-Z1-Rumination-32B-0414
zai-org,LongAlign-13B-64k,zai-org/LongAlign-13B-64k
zai-org,LongAlign-13B-64k-base,zai-org/LongAlign-13B-64k-base
zai-org,LongAlign-6B-64k,zai-org/LongAlign-6B-64k
zai-org,LongAlign-6B-64k-base,zai-org/LongAlign-6B-64k-base
zai-org,LongAlign-7B-64k,zai-org/LongAlign-7B-64k
zai-org,LongAlign-7B-64k-base,zai-org/LongAlign-7B-64k-base
zai-org,LongCite-glm4-9b,zai-org/LongCite-glm4-9b
zai-org,LongCite-llama3.1-8b,zai-org/LongCite-llama3.1-8b
zai-org,MSAGPT,zai-org/MSAGPT
zai-org,MathGLM,zai-org/MathGLM
zai-org,MathGLM-Vision,zai-org/MathGLM-Vision
zai-org,MathGLM-Vision-19B,zai-org/MathGLM-Vision-19B
zai-org,WebGLM,zai-org/WebGLM
zai-org,WebGLM-2B,zai-org/WebGLM-2B
zai-org,agentlm-13b,zai-org/agentlm-13b
zai-org,agentlm-70b,zai-org/agentlm-70b
zai-org,agentlm-7b,zai-org/agentlm-7b
zai-org,androidgen-glm-4-9b,zai-org/androidgen-glm-4-9b
zai-org,androidgen-llama-3-70b,zai-org/androidgen-llama-3-70b
zai-org,apar-13b,zai-org/apar-13b
zai-org,apar-7b,zai-org/apar-7b
zai-org,chatglm-6b,zai-org/chatglm-6b
zai-org,chatglm-6b-int4,zai-org/chatglm-6b-int4
zai-org,chatglm-6b-int4-qe,zai-org/chatglm-6b-int4-qe
zai-org,chatglm-6b-int8,zai-org/chatglm-6b-int8
zai-org,chatglm2-6b,zai-org/chatglm2-6b
zai-org,chatglm2-6b-32k,zai-org/chatglm2-6b-32k
zai-org,chatglm2-6b-32k-int4,zai-org/chatglm2-6b-32k-int4
zai-org,chatglm2-6b-int4,zai-org/chatglm2-6b-int4
zai-org,chatglm3-6b,zai-org/chatglm3-6b
zai-org,chatglm3-6b-128k,zai-org/chatglm3-6b-128k
zai-org,chatglm3-6b-32k,zai-org/chatglm3-6b-32k
zai-org,chatglm3-6b-base,zai-org/chatglm3-6b-base
zai-org,codegeex2-6b,zai-org/codegeex2-6b
zai-org,codegeex2-6b-int4,zai-org/codegeex2-6b-int4
zai-org,codegeex4-all-9b,zai-org/codegeex4-all-9b
