model_id,total_params_b,active_params_b,is_moe,notes
deepseek-ai/DeepSeek-V2.5-1210,236,21,,"Legacy data; not recently reviewed. V2 family (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-V2-Lite,15.7,2.4,,"Legacy data; not recently reviewed. V2-Lite (MoE) - 15.7B total, 2.4B active"
deepseek-ai/DeepSeek-V2-Lite-Chat,15.7,2.4,,"Legacy data; not recently reviewed. V2-Lite (MoE) - 15.7B total, 2.4B active"
deepseek-ai/DeepSeek-Coder-V2-Base,236,21,,"Legacy data; not recently reviewed. Coder-V2 (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-Coder-V2-Instruct,236,21,,"Legacy data; not recently reviewed. Coder-V2 (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-Coder-V2-Instruct-0724,236,21,,"Legacy data; not recently reviewed. Coder-V2 (MoE) - 236B total, 21B active"
deepseek-ai/DeepSeek-Coder-V2-Lite-Base,16,2.4,,"Legacy data; not recently reviewed. Coder-V2-Lite - 16B total, 2.4B active"
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,16,2.4,,"Legacy data; not recently reviewed. Coder-V2-Lite - 16B total, 2.4B active"
deepseek-ai/DeepSeek-Prover-V1,7,,,Legacy data; not recently reviewed. Prover - 7B dense
deepseek-ai/DeepSeek-Prover-V1.5-Base,7,,,Legacy data; not recently reviewed. Prover - 7B dense
deepseek-ai/DeepSeek-Prover-V1.5-RL,7,,,Legacy data; not recently reviewed. Prover - 7B dense
deepseek-ai/DeepSeek-Prover-V1.5-SFT,7,,,Legacy data; not recently reviewed. Prover - 7B dense
deepseek-ai/deepseek-vl2,27,,,"Legacy data; not recently reviewed. VL2 (vision-language, MoE backbone)"
deepseek-ai/deepseek-vl2-small,16,,,"Legacy data; not recently reviewed. VL2 (vision-language, MoE backbone)"
deepseek-ai/deepseek-vl2-tiny,3,,,"Legacy data; not recently reviewed. VL2 (vision-language, MoE backbone)"
deepseek-ai/deepseek-coder-5.7bmqa-base,5.7,,,Legacy data; not recently reviewed. Legacy coder
microsoft/phi-1,1.3,,,Legacy data; not recently reviewed.
microsoft/phi-1_5,1.3,,,Legacy data; not recently reviewed.
microsoft/phi-2,2.7,,,Legacy data; not recently reviewed.
microsoft/phi-2-pytdml,2.7,,,Legacy data; not recently reviewed.
microsoft/phi-4,14,,,Legacy data; not recently reviewed.
microsoft/Phi-3-mini-4k-instruct,3.8,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-mini-128k-instruct,3.8,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-small-8k-instruct,7,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-small-128k-instruct,7,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-medium-4k-instruct,14,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-medium-128k-instruct,14,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3-vision-128k-instruct,4.2,,,Legacy data; not recently reviewed. Phi-3 family
microsoft/Phi-3.5-mini-instruct,3.8,,,Legacy data; not recently reviewed. Phi-3.5 family
microsoft/Phi-3.5-vision-instruct,4.2,,,Legacy data; not recently reviewed. Phi-3.5 family
microsoft/Phi-3.5-MoE-instruct,42,,,Legacy data; not recently reviewed. Phi-3.5 family; 16x3.8B MoE
microsoft/Phi-4-mini-instruct,3.8,,,Legacy data; not recently reviewed. Phi-4 family
microsoft/Phi-4-mini-reasoning,3.8,,,Legacy data; not recently reviewed. Phi-4 family
microsoft/Phi-4-multimodal-instruct,5.6,,,Legacy data; not recently reviewed. Phi-4 family
microsoft/Phi-4-reasoning,14,,,Legacy data; not recently reviewed. Phi-4 family
microsoft/Phi-4-reasoning-plus,14,,,Legacy data; not recently reviewed. Phi-4 family
microsoft/Phi-mini-MoE-instruct,6.6,,,Legacy data; not recently reviewed. Phi MoE variants; estimate
microsoft/Phi-tiny-MoE-instruct,3.3,,,Legacy data; not recently reviewed. Phi MoE variants; estimate
mistralai/Mistral-Large-Instruct-2407,123,,,Legacy data; not recently reviewed.
mistralai/Mistral-Large-Instruct-2411,123,,,Legacy data; not recently reviewed.
mistralai/Mistral-Nemo-Base-2407,12,,,Legacy data; not recently reviewed.
mistralai/Mistral-Nemo-Instruct-2407,12,,,Legacy data; not recently reviewed.
mistralai/Mistral-Small-Instruct-2409,22,,,Legacy data; not recently reviewed.
mistralai/Pixtral-Large-Instruct-2411,124,,,Legacy data; not recently reviewed.
mistral-community/Pixtral-Large-Instruct-2411,124,,,Legacy data; not recently reviewed.
mistralai/Mixtral-8x7B-v0.1,46.7,12.9,,"Legacy data; not recently reviewed. Mixtral 8x7B (MoE) - 46.7B total, 12.9B active"
mistralai/Mixtral-8x7B-Instruct-v0.1,46.7,12.9,,"Legacy data; not recently reviewed. Mixtral 8x7B (MoE) - 46.7B total, 12.9B active"
mistralai/Mixtral-8x22B-v0.1,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistralai/Mixtral-8x22B-Instruct-v0.1,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistral-community/Mixtral-8x22B-v0.1,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistral-community/Mixtral-8x22B-v0.1-original,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistral-community/mixtral-8x22B-Instruct-v0.3-original,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistral-community/mixtral-8x22B-v0.3,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistral-community/mixtral-8x22B-v0.3-original,140.6,39,,"Legacy data; not recently reviewed. Mixtral 8x22B (MoE) - 140.6B total, 39B active"
mistralai/Devstral-Small-2505,24,,,Legacy data; not recently reviewed. Small 3 / Devstral / Magistral (24B)
mistralai/Magistral-Small-2506,24,,,Legacy data; not recently reviewed. Small 3 / Devstral / Magistral (24B)
mistralai/Magistral-Small-2507,24,,,Legacy data; not recently reviewed. Small 3 / Devstral / Magistral (24B)
mistralai/Magistral-Small-2509,24,,,Legacy data; not recently reviewed. Small 3 / Devstral / Magistral (24B)
ai21labs/AI21-Jamba-Large-1.5,398,94,,"Legacy data; not recently reviewed. Jamba-Large: 398B total, 94B active"
ai21labs/AI21-Jamba-Large-1.6,398,94,,"Legacy data; not recently reviewed. Jamba-Large: 398B total, 94B active"
ai21labs/AI21-Jamba-Large-1.7,398,94,,"Legacy data; not recently reviewed. Jamba-Large: 398B total, 94B active"
ai21labs/AI21-Jamba-Large-1.7-FP8,398,94,,"Legacy data; not recently reviewed. Jamba-Large: 398B total, 94B active"
ai21labs/AI21-Jamba-Mini-1.5,52,12,,"Legacy data; not recently reviewed. Jamba-Mini: 52B total, 12B active"
ai21labs/AI21-Jamba-Mini-1.6,52,12,,"Legacy data; not recently reviewed. Jamba-Mini: 52B total, 12B active"
ai21labs/AI21-Jamba-Mini-1.7,52,12,,"Legacy data; not recently reviewed. Jamba-Mini: 52B total, 12B active"
ai21labs/AI21-Jamba-Mini-1.7-FP8,52,12,,"Legacy data; not recently reviewed. Jamba-Mini: 52B total, 12B active"
ai21labs/Jamba-v0.1,52,12,,"Legacy data; not recently reviewed. Jamba-Mini: 52B total, 12B active"
ai21labs/Jamba-tiny-dev,0.5,,,Legacy data; not recently reviewed. Tiny dev models; estimate for dev model
ai21labs/Jamba-tiny-random,0.5,,,Legacy data; not recently reviewed. Tiny dev models
moonshotai/Kimi-K2-Base,1000,32,,"Legacy data; not recently reviewed. K2: 1T total (1040B), 32B active"
moonshotai/Kimi-K2-Instruct,1000,32,true,
moonshotai/Kimi-K2-Instruct-0905,1000,32,,"Legacy data; not recently reviewed. K2: 1T total (1040B), 32B active"
moonshotai/Kimi-K2-Thinking,1000,32,,"Legacy data; not recently reviewed. K2: 1T total (1040B), 32B active"
moonshotai/Kimi-K2.5,1000,32,true,
moonshotai/Kimi-VL-A3B-Instruct,16,3,true,Corrects the legacy 16.4B total.
moonshotai/Kimi-VL-A3B-Thinking,16.4,3,,"Legacy data; not recently reviewed. Kimi-VL (MoE) - 16.4B total, 3B active"
moonshotai/Kimi-VL-A3B-Thinking-2506,16.4,3,,"Legacy data; not recently reviewed. Kimi-VL (MoE) - 16.4B total, 3B active"
Qwen/Qwen-VL,9.6,,,Legacy data; not recently reviewed. Based on Qwen-7B backbone + vision
Qwen/Qwen-VL-Chat,9.6,,,Legacy data; not recently reviewed.
HuggingFaceTB/SmolVLM-Base,2,,,Legacy data; not recently reviewed. HuggingFaceTB SmolVLM (base versions without size in name); estimate
HuggingFaceTB/SmolVLM-Instruct,2,,,Legacy data; not recently reviewed. HuggingFaceTB SmolVLM (base versions without size in name)
HuggingFaceTB/SmolVLM-Instruct-DPO,2,,,Legacy data; not recently reviewed. HuggingFaceTB SmolVLM (base versions without size in name)
HuggingFaceTB/SmolVLM-Synthetic,2,,,Legacy data; not recently reviewed. HuggingFaceTB SmolVLM (base versions without size in name)
HuggingFaceTB/SmolLM2-nanotron-ckpt,0.135,,,Legacy data; not recently reviewed. HuggingFaceTB SmolVLM (base versions without size in name)
HuggingFaceTB/stack-edu-classifier-python,0.1,,,Legacy data; not recently reviewed. classifier
MiniMaxAI/MiniMax-M1-40k,456,,,Legacy data; not recently reviewed. MiniMaxAI; MoE model
MiniMaxAI/MiniMax-M1-40k-hf,456,,,Legacy data; not recently reviewed. MiniMaxAI
MiniMaxAI/MiniMax-M1-80k,456,45.9,true,
MiniMaxAI/MiniMax-M1-80k-hf,456,,,Legacy data; not recently reviewed. MiniMaxAI
MiniMaxAI/MiniMax-Text-01,456,45.9,true,
MiniMaxAI/MiniMax-Text-01-hf,456,,,Legacy data; not recently reviewed. MiniMaxAI
MiniMaxAI/MiniMax-VL-01,456,,,Legacy data; not recently reviewed. MiniMaxAI; Vision variant
MiniMaxAI/MiniMax-M2,230,10,true,Corrects the legacy 229B total.
MiniMaxAI/MiniMax-M2.1,229,,,Legacy data; not recently reviewed. MiniMax-M2 (MoE) - 229B total
Snowflake/snowflake-arctic-base,480,17,,"Legacy data; not recently reviewed. Snowflake Arctic (MoE) - 480B total, 17B active"
Snowflake/snowflake-arctic-instruct,480,17,,"Legacy data; not recently reviewed. Snowflake Arctic (MoE) - 480B total, 17B active"
Snowflake/snowflake-arctic-instruct-vllm,480,17,,"Legacy data; not recently reviewed. Snowflake Arctic (MoE) - 480B total, 17B active"
Snowflake/e5-base-arctic-finetune,0.1,,,Legacy data; not recently reviewed. embedding model
Skywork/Skywork-MoE-Base,146,,,Legacy data; not recently reviewed. Skywork MoE
Skywork/Skywork-MoE-Base-FP8,146,,,Legacy data; not recently reviewed. Skywork MoE
Skywork/R1V4,30,3,,"Legacy data; not recently reviewed. Skywork MoE; 30B total, A3B active"
tencent/Tencent-Hunyuan-Large,389,52,,"Legacy data; not recently reviewed. Tencent Hunyuan; MoE, 52B active"
tencent/Hunyuan-A13B-Instruct,80,13,true,
tencent/Hunyuan-A13B-Pretrain,80,,,Legacy data; not recently reviewed. Tencent Hunyuan
tencent/HunyuanOCR,1,,,Legacy data; not recently reviewed. Tencent Hunyuan
tencent/POINTS-Reader,7,,,Legacy data; not recently reviewed. Tencent Hunyuan; estimate
tencent/Hunyuan3D-Omni,7,,,Legacy data; not recently reviewed. Tencent Hunyuan
THUDM/glm-large-chinese,0.335,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/glm-roberta-large,0.355,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm-chat-hf,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm-base-224-hf,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm-base-490-hf,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm-grounding-base-hf,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm-grounding-generalist-hf,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogagent-chat-hf,18,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogagent-vqa-hf,18,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm2-llama3-caption,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm2-video-llama3-base,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/cogvlm2-video-llama3-chat,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/CogAgent,18,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/CogVLM,17,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/WebGLM,10,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models); based on GLM-10B
THUDM/MathGLM,7,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/MathGLM-Vision,7,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/BPO,7,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/MSAGPT,7,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/glm-4-voice-decoder,0.5,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
THUDM/glm-4-voice-tokenizer,0.1,,,Legacy data; not recently reviewed. THUDM / zai-org (many are older/smaller models)
zai-org/glm-large-chinese,0.335,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/glm-roberta-large,0.355,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm-chat-hf,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm-base-224-hf,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm-base-490-hf,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm-grounding-base-hf,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm-grounding-generalist-hf,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogagent-chat-hf,18,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogagent-vqa-hf,18,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm2-llama3-caption,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm2-video-llama3-base,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/cogvlm2-video-llama3-chat,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/CogAgent,18,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/CogVLM,17,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/WebGLM,10,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/MathGLM,7,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/MathGLM-Vision,7,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/BPO,7,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/MSAGPT,7,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/glm-4-voice-decoder,0.5,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/glm-4-voice-tokenizer,0.1,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/GLM-4.5,9,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM); estimate
zai-org/GLM-4.5-Base,9,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/GLM-4.5-Air,9,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/GLM-4.5-Air-Base,9,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/GLM-4.5V,9,,,Legacy data; not recently reviewed. zai-org (mirrors of THUDM)
zai-org/GLM-4.6,357,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family; MoE
zai-org/GLM-4.6-FP8,357,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family
zai-org/GLM-4.6V,108,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family; MoE vision
zai-org/GLM-4.6V-FP8,108,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family
zai-org/GLM-4.6V-Flash,10,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family; dense
zai-org/GLM-4.7,358,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family; MoE
zai-org/GLM-4.7-FP8,358,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family
zai-org/GLM-4.7-Flash,31,,,Legacy data; not recently reviewed. GLM-4.6/4.7 family; MoE lite
openbmb/MiniCPM-V-4,4.1,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-MoE-8x2B,14,4,,"Legacy data; not recently reviewed. openbmb MiniCPM; MoE, 4B active"
openbmb/Eurux-8x22b-kto,141,,,Legacy data; not recently reviewed. openbmb MiniCPM; Mixtral-based
openbmb/Eurux-8x22b-nca,141,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-V,3,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-V-2,3,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-V-2_6,8,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-V-4_5,8,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-o-2_6,8,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-Llama3-V-2_5,8,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM4-MCP,4,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM4-Survey,4,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-Embedding,0.1,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-Embedding-Light,0.05,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-Reranker,0.4,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/MiniCPM-Reranker-Light,0.1,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/VisCPM-Chat,10,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/VisCPM-Paint,10,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/VisRAG-Ret,2,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/RLHF-V,7,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/RLHF-V-SFT,7,,,Legacy data; not recently reviewed. openbmb MiniCPM
openbmb/Ultra-FineWeb-classifier,0.1,,,Legacy data; not recently reviewed. openbmb MiniCPM
nvidia/MambaVision-T-1K,0.032,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-T2-1K,0.035,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-S-1K,0.050,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-B-1K,0.098,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-B-21K,0.098,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L-1K,0.228,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L-21K,0.228,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L2-1K,0.241,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L2-512-21K,0.241,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L3-256-21K,0.280,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
nvidia/MambaVision-L3-512-21K,0.280,,,"Legacy data; not recently reviewed. nvidia MambaVision (vision models, relatively small)"
internlm/Intern-S1,7,,,Legacy data; not recently reviewed. internlm; estimate
internlm/Intern-S1-mini,3,,,Legacy data; not recently reviewed. internlm
internlm/internlm-xcomposer2d5-clip,0.3,,,Legacy data; not recently reviewed. internlm
internlm/internlm2-step-prover,7,,,Legacy data; not recently reviewed. internlm
internlm/internlm2-wqx-vl-clip,0.3,,,Legacy data; not recently reviewed. internlm
internlm/internlm2_5-step-prover,7,,,Legacy data; not recently reviewed. internlm
ibm-granite/granite-4.0-tiny-base-preview,0.5,,,Legacy data; not recently reviewed. ibm-granite
ibm-granite/granite-4.0-tiny-preview,0.5,,,Legacy data; not recently reviewed. ibm-granite
ibm-granite/granite-embedding-107m-multilingual,0.107,,,Legacy data; not recently reviewed. ibm-granite
ibm-granite/granite-embedding-278m-multilingual,0.278,,,Legacy data; not recently reviewed. ibm-granite
ibm-granite/granite-guardian-hap-125m,0.125,,,Legacy data; not recently reviewed. ibm-granite
ibm-granite/granite-guardian-hap-38m,0.038,,,Legacy data; not recently reviewed. ibm-granite
inclusionAI/Ling-lite,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-lite-base,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-lite-1.5,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-lite-1.5-2506,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-lite-1.5-2507,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-lite-base-1.5,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-Coder-lite,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-Coder-lite-base,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-base-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-base-2.0-5T,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-base-2.0-10T,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-base-2.0-15T,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-mini-base-2.0-20T,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-flash-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-flash-2.0-GGUF,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-flash-base-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-plus,32,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-plus-base,32,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-lite,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-lite-2506,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-lite-2507,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-lite-distill-preview,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-lite-linear-preview,7,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-mini-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-mini-2.0-GGUF,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-mini-linear-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-flash-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ring-flash-linear-2.0,3,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/GroveMoE-Base,100,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification); MoE"
inclusionAI/GroveMoE-Inst,100,,,"Legacy data; not recently reviewed. inclusionAI (various sizes, need verification)"
inclusionAI/Ling-1T,1000,,,Legacy data; not recently reviewed. inclusionAI 1T models (MoE) - ~1000B total
