model_id,total_params_b,group,notes
ai21labs/AI21-Jamba-Mini-1.6,52,"Jamba-Mini: 52B total, 12B active",
ai21labs/AI21-Jamba-Mini-1.7,52,"Jamba-Mini: 52B total, 12B active",
ai21labs/AI21-Jamba-Mini-1.7-FP8,52,"Jamba-Mini: 52B total, 12B active",
ai21labs/Jamba-v0.1,52,"Jamba-Mini: 52B total, 12B active",
ai21labs/Jamba-tiny-dev,0.5,Tiny dev models,estimate for dev model
ai21labs/Jamba-tiny-random,0.5,Tiny dev models,
moonshotai/Kimi-K2-Base,1000,"K2: 1T total (1040B), 32B active",
moonshotai/Kimi-K2-Instruct,1000,"K2: 1T total (1040B), 32B active",
moonshotai/Kimi-K2-Instruct-0905,1000,"K2: 1T total (1040B), 32B active",
moonshotai/Kimi-K2-Thinking,1000,"K2: 1T total (1040B), 32B active",
moonshotai/Kimi-K2.5,1000,K2.5 (MoE) - 1T total,
moonshotai/Kimi-VL-A3B-Instruct,16.4,"Kimi-VL (MoE) - 16.4B total, 3B active",
moonshotai/Kimi-VL-A3B-Thinking,16.4,"Kimi-VL (MoE) - 16.4B total, 3B active",
moonshotai/Kimi-VL-A3B-Thinking-2506,16.4,"Kimi-VL (MoE) - 16.4B total, 3B active",
Qwen/Qwen-VL,9.6,Qwen (models without B in name),Based on Qwen-7B backbone + vision
Qwen/Qwen-VL-Chat,9.6,Qwen (models without B in name),
HuggingFaceTB/SmolVLM-Base,2,HuggingFaceTB SmolVLM (base versions without size in name),estimate
HuggingFaceTB/SmolVLM-Instruct,2,HuggingFaceTB SmolVLM (base versions without size in name),
HuggingFaceTB/SmolVLM-Instruct-DPO,2,HuggingFaceTB SmolVLM (base versions without size in name),
HuggingFaceTB/SmolVLM-Synthetic,2,HuggingFaceTB SmolVLM (base versions without size in name),
HuggingFaceTB/SmolLM2-nanotron-ckpt,0.135,HuggingFaceTB SmolVLM (base versions without size in name),
HuggingFaceTB/smolvlm-app-config,0,HuggingFaceTB SmolVLM (base versions without size in name),not a model
HuggingFaceTB/stack-edu-classifier-python,0.1,HuggingFaceTB SmolVLM (base versions without size in name),classifier
MiniMaxAI/MiniMax-M1-40k,456,MiniMaxAI,MoE model
MiniMaxAI/MiniMax-M1-40k-hf,456,MiniMaxAI,
MiniMaxAI/MiniMax-M1-80k,456,MiniMaxAI,
MiniMaxAI/MiniMax-M1-80k-hf,456,MiniMaxAI,
MiniMaxAI/MiniMax-Text-01,456,MiniMaxAI,
MiniMaxAI/MiniMax-Text-01-hf,456,MiniMaxAI,
MiniMaxAI/MiniMax-VL-01,456,MiniMaxAI,Vision variant
MiniMaxAI/MiniMax-M2,229,MiniMax-M2 (MoE) - 229B total,
MiniMaxAI/MiniMax-M2.1,229,MiniMax-M2 (MoE) - 229B total,
Snowflake/snowflake-arctic-base,480,"Snowflake Arctic (MoE) - 480B total, 17B active",
Snowflake/snowflake-arctic-instruct,480,"Snowflake Arctic (MoE) - 480B total, 17B active",
Snowflake/snowflake-arctic-instruct-vllm,480,"Snowflake Arctic (MoE) - 480B total, 17B active",
Snowflake/e5-base-arctic-finetune,0.1,"Snowflake Arctic (MoE) - 480B total, 17B active",embedding model
Skywork/Skywork-MoE-Base,146,Skywork MoE,
Skywork/Skywork-MoE-Base-FP8,146,Skywork MoE,
Skywork/R1V4,30,Skywork MoE,"30B total, A3B active"
tencent/Tencent-Hunyuan-Large,389,Tencent Hunyuan,"MoE, 52B active"
tencent/Hunyuan-A13B-Instruct,80,Tencent Hunyuan,"MoE, 13B active"
tencent/Hunyuan-A13B-Pretrain,80,Tencent Hunyuan,
tencent/HunyuanOCR,1,Tencent Hunyuan,
tencent/POINTS-Reader,7,Tencent Hunyuan,estimate
tencent/Hunyuan3D-Omni,7,Tencent Hunyuan,
THUDM/glm-large-chinese,0.335,THUDM / zai-org (many are older/smaller models),
THUDM/glm-roberta-large,0.355,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm-chat-hf,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm-base-224-hf,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm-base-490-hf,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm-grounding-base-hf,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm-grounding-generalist-hf,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogagent-chat-hf,18,THUDM / zai-org (many are older/smaller models),
THUDM/cogagent-vqa-hf,18,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm2-llama3-caption,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm2-video-llama3-base,17,THUDM / zai-org (many are older/smaller models),
THUDM/cogvlm2-video-llama3-chat,17,THUDM / zai-org (many are older/smaller models),
THUDM/CogAgent,18,THUDM / zai-org (many are older/smaller models),
THUDM/CogVLM,17,THUDM / zai-org (many are older/smaller models),
THUDM/WebGLM,10,THUDM / zai-org (many are older/smaller models),based on GLM-10B
THUDM/MathGLM,7,THUDM / zai-org (many are older/smaller models),
THUDM/MathGLM-Vision,7,THUDM / zai-org (many are older/smaller models),
THUDM/BPO,7,THUDM / zai-org (many are older/smaller models),
THUDM/MSAGPT,7,THUDM / zai-org (many are older/smaller models),
THUDM/glm-4-voice-decoder,0.5,THUDM / zai-org (many are older/smaller models),
THUDM/glm-4-voice-tokenizer,0.1,THUDM / zai-org (many are older/smaller models),
zai-org/glm-large-chinese,0.335,zai-org (mirrors of THUDM),
zai-org/glm-roberta-large,0.355,zai-org (mirrors of THUDM),
zai-org/cogvlm-chat-hf,17,zai-org (mirrors of THUDM),
zai-org/cogvlm-base-224-hf,17,zai-org (mirrors of THUDM),
zai-org/cogvlm-base-490-hf,17,zai-org (mirrors of THUDM),
zai-org/cogvlm-grounding-base-hf,17,zai-org (mirrors of THUDM),
zai-org/cogvlm-grounding-generalist-hf,17,zai-org (mirrors of THUDM),
zai-org/cogagent-chat-hf,18,zai-org (mirrors of THUDM),
zai-org/cogagent-vqa-hf,18,zai-org (mirrors of THUDM),
zai-org/cogvlm2-llama3-caption,17,zai-org (mirrors of THUDM),
zai-org/cogvlm2-video-llama3-base,17,zai-org (mirrors of THUDM),
zai-org/cogvlm2-video-llama3-chat,17,zai-org (mirrors of THUDM),
zai-org/CogAgent,18,zai-org (mirrors of THUDM),
zai-org/CogVLM,17,zai-org (mirrors of THUDM),
zai-org/WebGLM,10,zai-org (mirrors of THUDM),
zai-org/MathGLM,7,zai-org (mirrors of THUDM),
zai-org/MathGLM-Vision,7,zai-org (mirrors of THUDM),
zai-org/BPO,7,zai-org (mirrors of THUDM),
zai-org/MSAGPT,7,zai-org (mirrors of THUDM),
zai-org/glm-4-voice-decoder,0.5,zai-org (mirrors of THUDM),
zai-org/glm-4-voice-tokenizer,0.1,zai-org (mirrors of THUDM),
zai-org/GLM-4.5,9,zai-org (mirrors of THUDM),estimate
zai-org/GLM-4.5-Base,9,zai-org (mirrors of THUDM),
zai-org/GLM-4.5-Air,9,zai-org (mirrors of THUDM),
zai-org/GLM-4.5-Air-Base,9,zai-org (mirrors of THUDM),
zai-org/GLM-4.5V,9,zai-org (mirrors of THUDM),
zai-org/GLM-4.6,357,GLM-4.6/4.7 family,MoE
zai-org/GLM-4.6-FP8,357,GLM-4.6/4.7 family,
zai-org/GLM-4.6V,108,GLM-4.6/4.7 family,MoE vision
zai-org/GLM-4.6V-FP8,108,GLM-4.6/4.7 family,
zai-org/GLM-4.6V-Flash,10,GLM-4.6/4.7 family,dense
zai-org/GLM-4.7,358,GLM-4.6/4.7 family,MoE
zai-org/GLM-4.7-FP8,358,GLM-4.6/4.7 family,
zai-org/GLM-4.7-Flash,31,GLM-4.6/4.7 family,MoE lite
openbmb/MiniCPM-V-4,4.1,openbmb MiniCPM,
openbmb/MiniCPM-MoE-8x2B,14,openbmb MiniCPM,"MoE, 4B active"
openbmb/Eurux-8x22b-kto,141,openbmb MiniCPM,Mixtral-based
openbmb/Eurux-8x22b-nca,141,openbmb MiniCPM,
openbmb/MiniCPM-V,3,openbmb MiniCPM,
openbmb/MiniCPM-V-2,3,openbmb MiniCPM,
openbmb/MiniCPM-V-2_6,8,openbmb MiniCPM,
openbmb/MiniCPM-V-4_5,8,openbmb MiniCPM,
openbmb/MiniCPM-o-2_6,8,openbmb MiniCPM,
openbmb/MiniCPM-Llama3-V-2_5,8,openbmb MiniCPM,
openbmb/MiniCPM4-MCP,4,openbmb MiniCPM,
openbmb/MiniCPM4-Survey,4,openbmb MiniCPM,
openbmb/MiniCPM-Embedding,0.1,openbmb MiniCPM,
openbmb/MiniCPM-Embedding-Light,0.05,openbmb MiniCPM,
openbmb/MiniCPM-Reranker,0.4,openbmb MiniCPM,
openbmb/MiniCPM-Reranker-Light,0.1,openbmb MiniCPM,
openbmb/VisCPM-Chat,10,openbmb MiniCPM,
openbmb/VisCPM-Paint,10,openbmb MiniCPM,
openbmb/VisRAG-Ret,2,openbmb MiniCPM,
openbmb/RLHF-V,7,openbmb MiniCPM,
openbmb/RLHF-V-SFT,7,openbmb MiniCPM,
openbmb/Ultra-FineWeb-classifier,0.1,openbmb MiniCPM,
openbmb/chattts_tokenizer,0,openbmb MiniCPM,not a model
nvidia/MambaVision-T-1K,0.032,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-T2-1K,0.035,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-S-1K,0.050,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-B-1K,0.098,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-B-21K,0.098,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L-1K,0.228,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L-21K,0.228,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L2-1K,0.241,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L2-512-21K,0.241,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L3-256-21K,0.280,"nvidia MambaVision (vision models, relatively small)",
nvidia/MambaVision-L3-512-21K,0.280,"nvidia MambaVision (vision models, relatively small)",
internlm/Intern-S1,7,internlm,estimate
internlm/Intern-S1-mini,3,internlm,
internlm/internlm-xcomposer2d5-clip,0.3,internlm,
internlm/internlm2-step-prover,7,internlm,
internlm/internlm2-wqx-vl-clip,0.3,internlm,
internlm/internlm2_5-step-prover,7,internlm,
ibm-granite/granite-4.0-tiny-base-preview,0.5,ibm-granite,
ibm-granite/granite-4.0-tiny-preview,0.5,ibm-granite,
ibm-granite/granite-embedding-107m-multilingual,0.107,ibm-granite,
ibm-granite/granite-embedding-278m-multilingual,0.278,ibm-granite,
ibm-granite/granite-guardian-hap-125m,0.125,ibm-granite,
ibm-granite/granite-guardian-hap-38m,0.038,ibm-granite,
inclusionAI/Ling-lite,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-lite-base,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-lite-1.5,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-lite-1.5-2506,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-lite-1.5-2507,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-lite-base-1.5,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-Coder-lite,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-Coder-lite-base,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-base-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-base-2.0-5T,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-base-2.0-10T,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-base-2.0-15T,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-mini-base-2.0-20T,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-flash-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-flash-2.0-GGUF,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-flash-base-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-plus,32,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-plus-base,32,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-lite,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-lite-2506,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-lite-2507,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-lite-distill-preview,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-lite-linear-preview,7,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-mini-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-mini-2.0-GGUF,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-mini-linear-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-flash-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/Ring-flash-linear-2.0,3,"inclusionAI (various sizes, need verification)",
inclusionAI/GroveMoE-Base,100,"inclusionAI (various sizes, need verification)",MoE
inclusionAI/GroveMoE-Inst,100,"inclusionAI (various sizes, need verification)",
inclusionAI/Ling-1T,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ling-1T-FP8,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ring-1T,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ring-1T-FP8,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ring-1T-preview,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ring-1T-preview-FP8,1000,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/M2-Reasoning,7,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ming-Lite-Omni,7,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ming-Lite-Omni-1.5,7,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Ming-Lite-Uni,7,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/Rubicon-Preview,7,inclusionAI 1T models (MoE) - ~1000B total,
inclusionAI/ViLaSR,7,inclusionAI 1T models (MoE) - ~1000B total,
allenai/OLMo-Ladder-760M-0.5xC,0.76,allenai,
allenai/FlexOlmo-7x7B-1T,49,allenai,"MoE, 7x7B"
allenai/dolma2-tokenizer-U10F0F0,0,allenai,"tokenizer, not a model"
microsoft/Florence-2-base,0.2,Microsoft Florence-2,
microsoft/Florence-2-base-ft,0.2,Microsoft Florence-2,
microsoft/Florence-2-large,0.8,Microsoft Florence-2,
microsoft/Florence-2-large-ft,0.8,Microsoft Florence-2,
Qwen/Qwen1.5-MoE-A2.7B,14.3,Qwen MoE,"MoE, 2.7B active"
Qwen/Qwen1.5-MoE-A2.7B-Chat,14.3,Qwen MoE,
XiaomiMiMo/MiMo-V2-Flash,310,XiaomiMiMo (MoE) - 310B total,
XiaomiMiMo/MiMo-V2-Flash-Base,310,XiaomiMiMo (MoE) - 310B total,
vikhyatk/moondream1,1.9,vikhyatk / moondream,
vikhyatk/moondream2,1.9,vikhyatk / moondream,
moondream/moondream3-preview,9.3,vikhyatk / moondream,
rednote-hilab/dots.ocr,3,rednote-hilab,
llava-hf/bakLlava-v1-hf,7,llava-hf,
